"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9049","All checkboxes check search with data in ""Search"" field","chromium","Tue Oct 07 17:31:55 UTC 2025","passed","Tue Oct 07 17:32:04 UTC 2025","Search","searchWithOptionEnabled.spec.ts","",""
"","11296","All checkboxes unchecked search with data in ""Search"" field","chromium","Tue Oct 07 17:31:55 UTC 2025","passed","Tue Oct 07 17:32:06 UTC 2025","Search","searchWithNoOptionEnabled.spec.ts","",""
"","16414","Transition to the search page from main page","webkit","Tue Oct 07 17:32:30 UTC 2025","passed","Tue Oct 07 17:32:46 UTC 2025","Transition","transitionToSearchPage.spec.ts","",""
"","20464","Empty field search with all checkboxes uncheck","webkit","Tue Oct 07 17:32:25 UTC 2025","passed","Tue Oct 07 17:32:46 UTC 2025","Search","emptySearchWithNoOptionEnabled.spec.ts","",""
"","14936","Empty field search with all checkboxes uncheck","webkit","Tue Oct 07 13:36:42 UTC 2025","passed","Tue Oct 07 13:36:57 UTC 2025","Search","5.spec.ts","",""
"","11596","Transition to the search page from main page","chromium","Tue Oct 07 13:36:09 UTC 2025","passed","Tue Oct 07 13:36:20 UTC 2025","Transition","1.spec.ts","",""
"","21455","Empty field search with all checkboxes check","webkit","Tue Oct 07 17:32:27 UTC 2025","passed","Tue Oct 07 17:32:49 UTC 2025","Search","emptySearchWithOptionEnabled.spec.ts","",""
"","6263","Transition to the search page from main page","webkit","Tue Oct 07 13:36:35 UTC 2025","passed","Tue Oct 07 13:36:41 UTC 2025","Transition","1.spec.ts","",""
"","15647","None checkboxes search with data in ""Search"" field","firefox","Tue Oct 07 13:36:23 UTC 2025","passed","Tue Oct 07 13:36:39 UTC 2025","Search","3.spec.ts","",""
"","13257","None checkboxes search with data in ""Search"" field","chromium","Tue Oct 07 13:36:09 UTC 2025","passed","Tue Oct 07 13:36:22 UTC 2025","Search","3.spec.ts","",""
"","15872","All checkboxes check search with data in ""Search"" field","firefox","Tue Oct 07 17:32:08 UTC 2025","passed","Tue Oct 07 17:32:24 UTC 2025","Search","searchWithOptionEnabled.spec.ts","",""
"","10681","Empty field search with all checkboxes check","firefox","Tue Oct 07 13:36:23 UTC 2025","passed","Tue Oct 07 13:36:34 UTC 2025","Search","4.spec.ts","",""
"","4344","Transition to the search page from main page","firefox","Tue Oct 07 13:36:23 UTC 2025","passed","Tue Oct 07 13:36:27 UTC 2025","Transition","1.spec.ts","",""
"","13819","Empty field search with all checkboxes uncheck","firefox","Tue Oct 07 13:36:24 UTC 2025","passed","Tue Oct 07 13:36:37 UTC 2025","Search","5.spec.ts","",""
"","11716","All checkboxes search with data in ""Search"" field","chromium","Tue Oct 07 13:36:09 UTC 2025","passed","Tue Oct 07 13:36:21 UTC 2025","Search","2.spec.ts","",""
"","20774","Empty field search with all checkboxes uncheck","firefox","Tue Oct 07 17:32:03 UTC 2025","passed","Tue Oct 07 17:32:24 UTC 2025","Search","emptySearchWithNoOptionEnabled.spec.ts","",""
"","6270","Transition to the search page from main page","chromium","Tue Oct 07 17:31:55 UTC 2025","passed","Tue Oct 07 17:32:01 UTC 2025","Transition","transitionToSearchPage.spec.ts","",""
"","22727","All checkboxes unchecked search with data in ""Search"" field","webkit","Tue Oct 07 17:32:28 UTC 2025","passed","Tue Oct 07 17:32:51 UTC 2025","Search","searchWithNoOptionEnabled.spec.ts","",""
"","15545","None checkboxes search with data in ""Search"" field","webkit","Tue Oct 07 13:36:41 UTC 2025","passed","Tue Oct 07 13:36:57 UTC 2025","Search","3.spec.ts","",""
